sigla,nome,mes_ref,data_divulgacao,pontos,delta_pts,url,titulo
ICE,Confiança Empresarial (ICE),2006-10,,101.9,-1.0999999999999943,,
ICE,Confiança Empresarial (ICE),2006-11,,105.4,3.5,,
ICE,Confiança Empresarial (ICE),2006-12,,105.7,0.29999999999999716,,
ICE,Confiança Empresarial (ICE),2007-01,,105.1,-0.6000000000000085,,
ICE,Confiança Empresarial (ICE),2007-02,,107.3,2.200000000000003,,
ICE,Confiança Empresarial (ICE),2007-03,,110.0,2.700000000000003,,
ICE,Confiança Empresarial (ICE),2007-04,,111.0,1.0,,
ICE,Confiança Empresarial (ICE),2007-05,,111.9,0.9000000000000057,,
ICE,Confiança Empresarial (ICE),2007-06,,112.7,0.7999999999999972,,
ICE,Confiança Empresarial (ICE),2007-07,,114.4,1.7000000000000028,,
ICE,Confiança Empresarial (ICE),2007-08,,113.0,-1.4000000000000057,,
ICE,Confiança Empresarial (ICE),2007-09,,113.0,0.0,,
ICE,Confiança Empresarial (ICE),2007-10,,115.9,2.9000000000000057,,
ICE,Confiança Empresarial (ICE),2007-11,,115.5,-0.4000000000000057,,
ICE,Confiança Empresarial (ICE),2007-12,,115.2,-0.29999999999999716,,
ICE,Confiança Empresarial (ICE),2008-01,,111.1,-4.1000000000000085,,
ICE,Confiança Empresarial (ICE),2008-02,,110.6,-0.5,,
ICE,Confiança Empresarial (ICE),2008-03,,111.4,0.8000000000000114,,
ICE,Confiança Empresarial (ICE),2008-04,,110.4,-1.0,,
ICE,Confiança Empresarial (ICE),2008-05,,109.8,-0.6000000000000085,,
ICE,Confiança Empresarial (ICE),2008-06,,112.8,3.0,,
ICE,Confiança Empresarial (ICE),2008-07,,112.6,-0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2008-08,,114.2,1.6000000000000085,,
ICE,Confiança Empresarial (ICE),2008-09,,108.9,-5.299999999999997,,
ICE,Confiança Empresarial (ICE),2008-10,,99.5,-9.400000000000006,,
ICE,Confiança Empresarial (ICE),2008-11,,84.4,-15.099999999999994,,
ICE,Confiança Empresarial (ICE),2008-12,,79.1,-5.300000000000011,,
ICE,Confiança Empresarial (ICE),2009-01,,79.3,0.20000000000000284,,
ICE,Confiança Empresarial (ICE),2009-02,,79.6,0.29999999999999716,,
ICE,Confiança Empresarial (ICE),2009-03,,79.9,0.30000000000001137,,
ICE,Confiança Empresarial (ICE),2009-04,,84.8,4.8999999999999915,,
ICE,Confiança Empresarial (ICE),2009-05,,89.2,4.400000000000006,,
ICE,Confiança Empresarial (ICE),2009-06,,92.8,3.5999999999999943,,
ICE,Confiança Empresarial (ICE),2009-07,,96.2,3.4000000000000057,,
ICE,Confiança Empresarial (ICE),2009-08,,100.1,3.8999999999999915,,
ICE,Confiança Empresarial (ICE),2009-09,,103.5,3.4000000000000057,,
ICE,Confiança Empresarial (ICE),2009-10,,106.3,2.799999999999997,,
ICE,Confiança Empresarial (ICE),2009-11,,109.8,3.5,,
ICE,Confiança Empresarial (ICE),2009-12,,111.8,2.0,,
ICE,Confiança Empresarial (ICE),2010-01,,113.4,1.6000000000000085,,
ICE,Confiança Empresarial (ICE),2010-02,,112.6,-0.8000000000000114,,
ICE,Confiança Empresarial (ICE),2010-03,,114.8,2.200000000000003,,
