Data;ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
03/2005;103,900; - ; - ; - ; - ;103,500
04/2005;101,300; - ; - ; - ; - ;102,100
05/2005;101,000; - ; - ; - ; - ;99,800
06/2005;99,800; - ; - ; - ; - ;97,300
07/2005;98,600; - ; - ; - ; - ;95,000
08/2005;98,800; - ; - ; - ; - ;93,800
09/2005;99,000; - ; - ; - ;87,300;94,300
10/2005;99,400; - ; - ; - ;89,600;95,200
11/2005;97,000; - ; - ; - ;87,400;96,400
12/2005;100,000; - ; - ; - ;88,900;98,400
01/2006;100,600; - ; - ; - ;93,700;99,500
02/2006;101,100; - ; - ; - ;93,100;101,300
03/2006;101,600; - ; - ; - ;93,500;101,500
04/2006;101,100; - ; - ; - ;91,700;103,600
05/2006;97,900; - ; - ; - ;90,800;99,700
06/2006;100,700; - ; - ; - ;90,600;99,700
07/2006;102,700; - ; - ; - ;91,000;101,000
08/2006;101,700; - ; - ; - ;91,400;98,800
09/2006;103,000; - ; - ; - ;90,800;101,000
10/2006;101,900; - ; - ; - ;94,300;100,400
11/2006;105,400; - ; - ; - ;96,100;104,000
12/2006;105,700; - ; - ; - ;98,200;105,600
01/2007;105,100; - ; - ; - ;97,800;103,700
02/2007;107,300; - ; - ; - ;99,000;108,200
03/2007;110,000; - ; - ; - ;96,000;109,700
04/2007;111,000; - ; - ; - ;96,700;111,100
05/2007;111,900; - ; - ; - ;99,300;111,300
06/2007;112,700; - ; - ; - ;100,400;110,800
07/2007;114,400; - ; - ; - ;98,700;112,500
08/2007;113,000; - ; - ; - ;99,000;112,100
09/2007;113,000; - ; - ; - ;98,900;112,800
10/2007;115,900; - ; - ; - ;101,400;114,900
11/2007;115,500; - ; - ; - ;102,400;114,900
12/2007;115,200; - ; - ; - ;108,400;115,200
01/2008;111,100; - ; - ; - ;103,100;112,800
02/2008;110,600; - ; - ; - ;104,600;113,200
03/2008;111,400; - ; - ; - ;108,500;112,900
04/2008;110,400; - ; - ; - ;103,000;111,400
05/2008;109,800; - ; - ; - ;105,100;112,500
06/2008;112,800;110,300; - ; - ;98,400;114,700
07/2008;112,600;108,800; - ; - ;94,300;113,500
08/2008;114,200;109,500; - ; - ;97,100;113,900
09/2008;108,900;103,500; - ; - ;99,800;111,200
10/2008;99,500;95,600; - ; - ;89,800;102,200
11/2008;84,400;88,200; - ; - ;84,800;84,100
12/2008;79,100;85,800; - ; - ;84,800;74,300
01/2009;79,300;84,700; - ; - ;86,400;74,800
02/2009;79,600;86,300; - ; - ;84,900;76,800
03/2009;79,900;85,700; - ; - ;87,700;79,000
04/2009;84,800;91,200; - ; - ;88,200;84,100
05/2009;89,200;94,000; - ; - ;90,100;88,500
06/2009;92,800;95,400; - ; - ;94,200;93,100
07/2009;96,200;97,100; - ; - ;96,600;97,000
08/2009;100,100;99,500; - ; - ;95,900;100,800
09/2009;103,500;103,000; - ; - ;97,100;105,500
10/2009;106,300;103,200; - ; - ;97,800;109,600
11/2009;109,800;105,300; - ; - ;99,400;112,300
12/2009;111,800;108,200; - ; - ;97,600;113,300
01/2010;113,400;108,500; - ; - ;99,400;113,100
02/2010;112,600;109,300; - ; - ;96,800;115,700
03/2010;114,800;112,000;116,000; - ;99,000;115,800
04/2010;112,500;109,100;114,200; - ;101,400;115,700
05/2010;113,000;109,700;114,200; - ;103,500;116,000
06/2010;112,500;108,800;111,700; - ;105,000;114,300
